Date,LeadingEconomicIndex,   AuthorizedCapitalofNewlyRegistereCompanies,ConstructionAreasPermitted,Exports,NumberofForeignTourists,MoneySupply
1/1/2014,141.31,20709.89,1211.15,417870.88,2042440.54,11188340.44
2/1/2014,141.21,12926.06,1453.04,426698.31,1895385.05,11202968.53
3/1/2014,141.89,10736.85,2073.52,430609.11,1915800.36,11181031.27
4/1/2014,141.82,12016.32,1464.77,426564.73,2046437.13,11191266.25
5/1/2014,141.28,14072.3,1358.14,425634.36,1904499.38,11163604.07
6/1/2014,140.91,12221.51,1302.59,425144.8,1677822.35,11227206.74
7/1/2014,142.13,11855.8,1780.13,412896.51,1885956.02,11262008.16
8/1/2014,143.53,19175.87,1417.28,425363.06,2030157.05,11324857.8
9/1/2014,145.12,20934.17,2124.35,415349.14,2165987.7,11381922.61
10/1/2014,146.67,14107.82,2057.49,437913.21,2440356.71,11449481.31
11/1/2014,147.36,24982.48,1543.53,430611.43,2332263.78,11527763.63
12/1/2014,149.23,21897.57,1826.41,430530.84,2426780.29,11646905.62
1/1/2015,150.28,13065.79,1081.87,433514.16,2352039.36,11804545.19
2/1/2015,149.5,10388.86,1177.75,416549.91,2432612.33,11881785.58
3/1/2015,150.43,11270.33,1751.89,419119.52,2422255.89,11932386.42
4/1/2015,150.67,10406.85,1523.61,435513.9,2526282,11988449.29
5/1/2015,150.06,12316.15,1213.19,427902.68,2599625.66,12024304.7
6/1/2015,149.63,8355.42,1595.69,393968.75,2558451.96,12031464.09
7/1/2015,151.15,14226.68,1511.09,419422.25,2606856.81,12070650.49
8/1/2015,151.48,9303.37,1573.73,423348.48,2518445.69,12098655.86
9/1/2015,152.49,31988.91,1586.18,416224.3,2372870.24,12139393.26
10/1/2015,152.14,14796.36,1234.2,432340.5,2488720.73,12171350.96
11/1/2015,152.03,11049.24,1279.55,407970.16,2493655.47,12212915.42
12/1/2015,154.75,38464.17,1591.31,398415.47,2589186.82,12273818.3
1/1/2016,155.9,19890.22,1231.92,406120.57,2708346.26,12348273.18
2/1/2016,155.92,15523.08,1094.89,430550.7,2815938.19,12385906.67
3/1/2016,155.68,19211.43,1414.51,410818.13,2790105.08,12422358.53
4/1/2016,154.19,8754.55,1148.96,413465.76,2750447.14,12479164.61
5/1/2016,153.1,13125.86,932.36,409351.37,2779783.67,12407967.47
6/1/2016,154.02,12446.03,1406.32,415814.53,2747217.95,12495303.15
7/1/2016,155.43,10809.79,1296.91,416113.38,2880493.45,12556557.58
8/1/2016,155.59,13564.43,1461.85,416114.38,2792969.56,12582381.03
9/1/2016,156.31,15706.12,1902.57,416115.38,2801035.43,12574808.57
10/1/2016,154.32,10298.5,1332.07,416116.38,2509742.81,12681378.49
11/1/2016,155.3,11180.85,1486.18,434001.86,2415393,12671055.51
12/1/2016,155.36,15488.79,1664.14,430072.79,2640127,12651057.41
1/1/2017,154.64,11456.95,1110,427177.13,2875094.03,12653178.25
2/1/2017,155.09,18753.48,1067.27,442286.97,2719638.22,12682000.47
3/1/2017,156.57,18597.01,1369.52,448437.6,2832550.2,12734196.67
4/1/2017,156.88,15256.82,1279.45,445152.02,2923551.66,12869251.59
5/1/2017,157.63,21968,1280.6,439931.12,2902712.73,12932081.04
6/1/2017,150.25,28589.22,5832.69,104.06,55.74,13012900.79
7/1/2017,149.75,14844.59,5483.21,106.02,55.71,13054001.36
8/1/2017,150.23,33029.84,5170.03,106.51,54.9,13103929.29
9/1/2017,150.31,21980.03,5956.98,108.64,55.57,13077092.7
10/1/2017,149.83,27575.54,4435.1,107.88,55.59,13096911.35
11/1/2017,150.48,47427.48,5307.51,112.08,54.12,13163494.56
12/1/2017,151.99,101689.77,6297.39,109.28,54.95,13232536.25
1/1/2018,150.25,12406.21,4879.41,112.06,54.95,13288427.84
2/1/2018,151.25,12207.89,5600.6,110.07,56.5,13323355.84
3/1/2018,152.37,17471.16,8018.38,108.63,55.83,13413716.76
4/1/2018,151.2,25097.7,4696.63,110.63,55.93,13401644.76
5/1/2018,150.77,14522.45,5221.4,113.15,56.36,13413990.65
6/1/2018,150.43,16925.84,4984.77,112.58,55.58,13468872.86
7/1/2018,150.63,18140.62,4800.32,110.31,55.42,13491592.53
8/1/2018,149.87,3910.59,5307.92,113.12,55.31,13472482.12
9/1/2018,151.18,32949.51,6259.23,109,54.45,13520639.08
10/1/2018,149.93,13688.55,5283.7,110.26,53.94,13607641.58
11/1/2018,153.86,51604.04,6611.54,110.65,58.19,13665526.88
12/1/2018,152.31,26664.9,5323.31,107.72,53.85,13823396.71
1/1/2019,152.04,12210.24,5747.17,106.12,54.14,13869868
2/1/2019,151.65,11585.35,5446.99,105.78,54.74,13876904.14
3/1/2019,151.37,12193.94,5666.61,105.43,55.71,13770173.61
4/1/2019,150.64,10223.65,4266.29,105.68,56.66,13767924.89
5/1/2019,151.6,23946.45,5271.01,105.49,56.47,13726974.02
6/1/2019,151.71,10328.96,5484.79,104.8,55.24,13792478.16
7/1/2019,151.77,15592.29,4903.86,104.96,54.76,13849105.28
