Date,Regime_ID,Regime_Label
1/3/2011,0,Sideways
1/10/2011,0,Sideways
1/17/2011,0,Sideways
1/24/2011,2,Bear
1/31/2011,1,Bull
2/7/2011,2,Bear
2/14/2011,0,Sideways
2/21/2011,0,Sideways
2/28/2011,1,Bull
3/7/2011,1,Bull
3/14/2011,1,Bull
3/21/2011,1,Bull
3/28/2011,1,Bull
4/4/2011,1,Bull
4/11/2011,1,Bull
4/18/2011,1,Bull
4/25/2011,0,Sideways
5/2/2011,2,Bear
5/9/2011,2,Bear
5/16/2011,1,Bull
5/23/2011,0,Sideways
5/30/2011,1,Bull
6/6/2011,2,Bear
6/13/2011,1,Bull
6/20/2011,0,Sideways
6/27/2011,1,Bull
7/4/2011,1,Bull
7/11/2011,1,Bull
7/18/2011,1,Bull
7/25/2011,1,Bull
8/1/2011,2,Bear
8/8/2011,2,Bear
8/15/2011,2,Bear
8/22/2011,2,Bear
8/29/2011,1,Bull
9/5/2011,1,Bull
9/12/2011,0,Sideways
9/19/2011,2,Bear
9/26/2011,2,Bear
10/3/2011,2,Bear
10/10/2011,2,Bear
10/17/2011,2,Bear
10/24/2011,0,Sideways
10/31/2011,0,Sideways
11/7/2011,1,Bull
11/14/2011,0,Sideways
11/21/2011,1,Bull
11/28/2011,0,Sideways
12/5/2011,0,Sideways
12/12/2011,1,Bull
12/19/2011,0,Sideways
12/26/2011,0,Sideways
1/2/2012,0,Sideways
1/9/2012,1,Bull
1/16/2012,1,Bull
1/23/2012,1,Bull
1/30/2012,1,Bull
2/6/2012,1,Bull
2/13/2012,1,Bull
2/20/2012,0,Sideways
2/27/2012,1,Bull
3/5/2012,1,Bull
3/12/2012,1,Bull
3/19/2012,1,Bull
3/26/2012,0,Sideways
4/2/2012,1,Bull
4/9/2012,1,Bull
4/16/2012,1,Bull
4/23/2012,1,Bull
4/30/2012,1,Bull
5/7/2012,2,Bear
5/14/2012,2,Bear
5/21/2012,2,Bear
5/28/2012,2,Bear
6/4/2012,1,Bull
6/11/2012,1,Bull
6/18/2012,0,Sideways
6/25/2012,1,Bull
7/2/2012,1,Bull
7/9/2012,1,Bull
7/16/2012,0,Sideways
7/23/2012,1,Bull
7/30/2012,1,Bull
8/6/2012,1,Bull
8/13/2012,0,Sideways
8/20/2012,1,Bull
8/27/2012,0,Sideways
9/3/2012,1,Bull
9/10/2012,1,Bull
9/17/2012,0,Sideways
9/24/2012,1,Bull
10/1/2012,1,Bull
10/8/2012,1,Bull
10/15/2012,1,Bull
10/22/2012,0,Sideways
10/29/2012,1,Bull
11/5/2012,1,Bull
11/12/2012,0,Sideways
11/19/2012,1,Bull
11/26/2012,1,Bull
12/3/2012,0,Sideways
12/10/2012,1,Bull
12/17/2012,1,Bull
12/24/2012,1,Bull
12/31/2012,1,Bull
1/7/2013,1,Bull
1/14/2013,1,Bull
1/21/2013,1,Bull
1/28/2013,1,Bull
2/4/2013,1,Bull
2/11/2013,1,Bull
2/18/2013,1,Bull
2/25/2013,1,Bull
3/4/2013,1,Bull
3/11/2013,1,Bull
3/18/2013,2,Bear
3/25/2013,2,Bear
4/1/2013,2,Bear
4/8/2013,2,Bear
4/15/2013,1,Bull
4/22/2013,1,Bull
4/29/2013,1,Bull
5/6/2013,1,Bull
5/13/2013,0,Sideways
5/20/2013,2,Bear
5/27/2013,2,Bear
6/3/2013,2,Bear
6/10/2013,2,Bear
6/17/2013,2,Bear
6/24/2013,2,Bear
7/1/2013,2,Bear
7/8/2013,2,Bear
7/15/2013,2,Bear
7/22/2013,2,Bear
7/29/2013,2,Bear
8/5/2013,1,Bull
8/12/2013,0,Sideways
8/19/2013,2,Bear
8/26/2013,2,Bear
9/2/2013,1,Bull
9/9/2013,0,Sideways
9/16/2013,0,Sideways
9/23/2013,2,Bear
9/30/2013,1,Bull
10/7/2013,1,Bull
10/14/2013,1,Bull
10/21/2013,0,Sideways
10/28/2013,0,Sideways
11/4/2013,1,Bull
11/11/2013,1,Bull
11/18/2013,2,Bear
11/25/2013,1,Bull
12/2/2013,0,Sideways
12/9/2013,0,Sideways
12/16/2013,0,Sideways
12/23/2013,2,Bear
12/30/2013,2,Bear
1/6/2014,2,Bear
1/13/2014,0,Sideways
1/20/2014,1,Bull
1/27/2014,0,Sideways
2/3/2014,1,Bull
2/10/2014,1,Bull
2/17/2014,1,Bull
2/24/2014,1,Bull
3/3/2014,1,Bull
3/10/2014,1,Bull
3/17/2014,1,Bull
3/24/2014,1,Bull
3/31/2014,1,Bull
4/7/2014,1,Bull
4/14/2014,1,Bull
4/21/2014,0,Sideways
4/28/2014,0,Sideways
5/5/2014,2,Bear
